,Breed,Species,PetCount,AvgTotalClaims,AvgNumClaims,WeightedTotalClaims,WeightedNumClaims
0,Abyssinian,Cat,24,1462.7804166666667,4.25,35106.73,102.0
1,Affenpinscher,Dog,3,1746.1899999999998,1.3333333333333333,5238.57,4.0
2,Afghan Hound,Dog,10,645.5429999999999,2.5,6455.4299999999985,25.0
3,Aidi,Dog,2,0.0,0.0,0.0,0.0
4,Airedale Terrier,Dog,41,1338.7053658536586,2.097560975609756,54886.92,86.0
5,Akbash Dog,Dog,1,11383.6,23.0,11383.6,23.0
6,Akita,Dog,49,1217.911020408163,3.5918367346938775,59677.63999999999,176.0
7,Alaskan Klee Kai,Dog,30,1510.6663333333336,3.1666666666666665,45319.990000000005,95.0
8,Alaskan Malamute,Dog,64,3096.346718750001,3.765625,198166.19000000006,241.0
9,American Bandogge Mastiff,Dog,1,2295.07,8.0,2295.07,8.0
10,American Black and Tan Coonhound,Dog,3,693.1466666666666,2.3333333333333335,2079.44,7.0
11,American Bobtail,Cat,10,679.742,0.6,6797.42,6.0
12,American Bulldog,Dog,63,2155.1333333333337,3.873015873015873,135773.40000000002,244.0
13,American Bully,Dog,47,3409.1931914893617,5.0,160232.08,235.0
14,American Cocker Spaniel,Dog,49,1610.113469387755,4.183673469387755,78895.56,205.0
15,American English Coonhound,Dog,4,1464.9825,0.5,5859.93,2.0
16,American Eskimo,Dog,43,722.376976744186,1.6511627906976745,31062.209999999995,71.0
17,American Foxhound,Dog,7,3541.5428571428565,5.428571428571429,24790.799999999996,38.0
18,American Hairless Terrier,Dog,2,571.04,3.0,1142.08,6.0
19,American Mastiff,Dog,1,11064.57,30.0,11064.57,30.0
20,American Pitbull Terrier,Dog,338,2726.4000295857973,4.106508875739645,921523.2099999995,1388.0
21,American Shorthair,Cat,402,759.7304726368156,1.6119402985074627,305411.6499999999,648.0
22,American Staffordshire Bull Terrier,Dog,18,1531.6233333333332,2.5555555555555554,27569.219999999998,46.0
23,American Staffordshire Terrier,Dog,107,2247.6854205607474,4.018691588785047,240502.33999999997,430.0
24,American Water Spaniel,Dog,4,3738.825000000001,6.0,14955.300000000005,24.0
25,American Wirehair,Cat,1,0.0,0.0,0.0,0.0
26,Anatolian Karabash Shepherd,Dog,1,1365.99,4.0,1365.99,4.0
27,Anatolian Shepherd,Dog,7,5060.245714285715,3.7142857142857144,35421.72,26.0
28,Appenzeller Sennenhunde,Dog,1,0.0,0.0,0.0,0.0
29,Argentine Dogo,Dog,15,3011.5873333333325,5.4,45173.80999999999,81.0
30,Aussalier,Dog,2,152.065,0.5,304.13,1.0
31,Aussiedoodle,Dog,104,1061.3148076923078,2.2884615384615383,110376.74,238.0
32,Australian Cattle Dog,Dog,65,1309.1913846153845,2.292307692307692,85097.44,149.0
33,Australian Cattle Dog Blue Heeler,Dog,79,1756.0860759493673,3.4683544303797467,138730.80000000002,274.0
34,Australian Cattle Dog Red Heeler,Dog,26,1218.0546153846153,2.3846153846153846,31669.42,62.0
35,Australian Kelpie,Dog,11,1600.3145454545456,4.0,17603.460000000003,44.0
36,Australian Labradoodle,Dog,627,1052.0417065390754,3.124401913875598,659630.1500000003,1959.0
37,Australian Shepherd,Dog,475,1092.4623368421053,2.0694736842105264,518919.61,983.0
38,Australian Silky Terrier,Dog,4,448.515,2.5,1794.06,10.0
39,Australian Stumpy Tail Cattle,Dog,1,0.0,0.0,0.0,0.0
40,Australian Terrier,Dog,4,301.5475,1.25,1206.19,5.0
41,Balinese,Cat,22,1892.4295454545456,3.090909090909091,41633.450000000004,68.0
42,Bantam Bulldog,Dog,1,5438.79,26.0,5438.79,26.0
43,Barbet,Dog,7,1017.0742857142858,2.4285714285714284,7119.52,17.0
44,Basenji,Dog,16,1767.56625,2.75,28281.06,44.0
45,Basset Fauve de Bretagne,Dog,3,2699.5066666666667,3.3333333333333335,8098.52,10.0
46,Basset Hound,Dog,91,2672.211648351648,5.285714285714286,243171.25999999995,481.0
47,Bavarian Mountain Hound,Dog,1,0.0,0.0,0.0,0.0
48,Beagle,Dog,249,1548.3822891566265,3.534136546184739,385547.19,880.0
49,Bearded Collie,Dog,9,2347.147777777778,7.222222222222222,21124.33,65.0
50,Beauceron,Dog,14,3435.7714285714287,6.142857142857143,48100.8,86.0
51,Bedlington Terrier,Dog,6,745.5916666666667,3.1666666666666665,4473.55,19.0
52,Belgian Malinois,Dog,68,1475.2122058823527,2.8823529411764706,100314.42999999998,196.0
53,Belgian Sheepdog,Dog,1,342.65,2.0,342.65,2.0
54,Bengal,Cat,146,1231.7464383561642,1.8835616438356164,179834.97999999998,275.0
55,Bergamasco Sheepdog,Dog,1,21981.27,50.0,21981.27,50.0
56,Berger Picard Picardy Sheepdog,Dog,3,879.5300000000001,2.6666666666666665,2638.59,8.0
57,Bernedoodle,Dog,290,1476.8288275862067,4.0344827586206895,428280.3599999999,1170.0
58,Bernese Mountain Dog,Dog,319,2635.2095611285254,4.7492163009404385,840631.8499999996,1514.9999999999998
59,Bichon Frise,Dog,171,1914.5282456140349,4.087719298245614,327384.32999999996,699.0
60,Biewer,Dog,29,896.9468965517242,2.586206896551724,26011.460000000003,75.0
61,Birman,Cat,12,1121.5066666666667,0.6666666666666666,13458.08,8.0
62,Black Russian Terrier,Dog,8,4139.9725,8.5,33119.78,68.0
63,Black and Tan Coonhound,Dog,5,1334.212,3.8,6671.0599999999995,19.0
64,Blackmouth Cur,Dog,19,900.073157894737,1.736842105263158,17101.390000000003,33.0
65,Bloodhound,Dog,26,3851.571538461538,6.115384615384615,100140.85999999999,159.0
66,Blue Tick Coonhound,Dog,12,925.4683333333332,1.25,11105.619999999999,15.0
67,Boerboel,Dog,7,1102.9357142857145,4.571428571428571,7720.550000000002,32.0
68,Bolognese,Dog,6,614.8283333333334,1.5,3688.9700000000003,9.0
69,Bombay,Cat,9,330.7811111111111,2.3333333333333335,2977.0299999999997,21.0
70,Border Collie,Dog,326,1037.8842024539877,2.460122699386503,338350.25,802.0
71,Border Terrier,Dog,35,1444.7465714285713,2.6,50566.13,91.0
72,Borzoi Russian Wolfhound,Dog,5,980.4280000000001,3.0,4902.14,15.0
73,Boston Terrier,Dog,469,1578.5748614072486,3.319829424307036,740351.6099999996,1557.0
74,Bouvier des Flandres,Dog,22,1442.1736363636362,3.9545454545454546,31727.819999999996,87.0
75,Boxer,Dog,361,2076.6927146814423,4.099722991689751,749686.0700000006,1480.0
76,Boykin Spaniel,Dog,13,2102.5923076923073,3.6153846153846154,27333.699999999993,47.0
77,Bracco Italiano,Dog,2,264.755,1.0,529.51,2.0
78,Briard,Dog,7,406.2942857142857,0.7142857142857143,2844.06,5.0
79,British Longhair,Cat,2,0.0,0.0,0.0,0.0
80,British Shorthair,Cat,81,855.7495061728395,2.037037037037037,69315.70999999999,165.0
81,Brittany,Dog,28,1550.5849999999996,2.642857142857143,43416.37999999999,74.0
82,Brittany Spaniel,Dog,49,1049.484081632653,2.3469387755102042,51424.719999999994,115.00000000000001
83,Brussels Griffon Brabancon ,Dog,41,1999.970243902439,4.219512195121951,81998.78,173.0
84,Bull Boxer,Dog,7,2198.7557142857145,8.428571428571429,15391.29,59.0
85,Bull Terrier,Dog,27,2322.551481481482,4.185185185185185,62708.890000000014,113.0
86,Bull Terrier Standard,Dog,8,4403.1425,6.75,35225.14,54.0
87,Bullmastiff,Dog,27,2837.1192592592593,4.925925925925926,76602.22,133.0
88,Burmese,Cat,20,752.6674999999999,2.2,15053.349999999999,44.0
89,Cairn Terrier,Dog,75,1146.9273333333333,2.2933333333333334,86019.55,172.0
90,Canaan Dog,Dog,1,0.0,0.0,0.0,0.0
91,Canary,Dog,1,207.41,2.0,207.41,2.0
92,Cane Corso,Dog,88,2626.4424999999997,3.5795454545454546,231126.93999999997,315.0
93,Cardigan Welsh Corgi,Dog,28,1618.9764285714286,3.4285714285714284,45331.340000000004,96.0
94,Catahoula Cur Leopard Dog,Dog,56,1992.626964285714,2.9285714285714284,111587.10999999999,164.0
95,Caucasian Ovcharka,Dog,1,0.0,0.0,0.0,0.0
96,Cavalier King Charles Spaniel,Dog,655,1318.8786259541987,3.433587786259542,863865.5000000001,2249.0
97,Cavapoo,Dog,177,1427.9149717514124,3.2598870056497176,252740.94999999998,577.0
98,Central Asian Shepherd,Dog,3,5870.579999999999,11.0,17611.739999999998,33.0
99,Cesky Terrier,Dog,2,0.0,0.0,0.0,0.0
100,Chartreux,Cat,1,0.0,0.0,0.0,0.0
