,Species,Breed
0,Dog,Schnauzer - Standard
1,Dog,Yorkiepoo
2,Dog,Mixed breed Medium (20 - 55lbs when full grown)
3,Dog,Labrador Retriever (Black)
4,Dog,French Bulldog
5,Dog,Shih Tzu
6,Cat,American Shorthair
7,Dog,Boxer
8,Cat,Domestic Longhair
9,Dog,Mixed breed Small (up to 20lbs when full grown)
10,Dog,Mixed breed Large (55 – 90lbs when full grown)
11,Dog,Golden Retriever
12,Cat,Domestic Shorthair
13,Dog,Australian Shepherd
15,Dog,Miniature Goldendoodle
16,Dog,Wirehaired Pointing Griffon
17,Cat,<Mixed Breed (Cat)>
18,Cat,British Shorthair
19,Dog,Yorkshire Terrier
20,Cat,Maine Coon
21,Dog,Dachshund - Standard Smooth Haired
22,Dog,Goldendoodle
24,Dog,Boston Terrier
26,Dog,Labrador Retriever
27,Dog,German Shepherd
28,Dog,Labradoodle
31,Dog,Pomsky
32,Dog,Pomeranian
33,Dog,Labrador Retriever (Yellow)
39,Dog,Jack Russell Terrier
42,Dog,American Eskimo
44,Dog,Havanese
45,Dog,Chihuahua (Short Coat)
47,Dog,Maltipoo
53,Dog,Vizsla
54,Dog,Labrador Retriever (Chocolate)
58,Dog,Welsh Terrier
59,Cat,Bengal
60,Dog,Miniature Schnauzer
61,Cat,Abyssinian
65,Dog,Mixed breed (Unknown size)
67,Dog,Bernedoodle
68,Dog,Portuguese Water Dog
75,Dog,English Bulldog
76,Dog,Poodle-Miniature
88,Dog,Bichon Frise
90,Dog,Italian Greyhound
94,Dog,Pyrenean Shepherd
95,Dog,Belgian Malinois
101,Dog,Doberman Pinscher
102,Dog,Cavalier King Charles Spaniel
103,Dog,Bernese Mountain Dog
104,Dog,Chihuahua
108,Dog,Collie - Smooth
109,Dog,Australian Labradoodle
114,Dog,Terrier
116,Cat,Domestic Mediumhair
118,Dog,Poodle-Toy
126,Dog,Beagle
131,Dog,Silky Terrier
137,Dog,Basset Hound
146,Dog,Maltese
151,Dog,Cockapoo
153,Dog,Lhasa Apso
156,Dog,Australian Cattle Dog
157,Dog,Soft Coated Wheaten Terrier
158,Cat,Siamese
161,Cat,Sphynx
168,Dog,Poodle-Standard
175,Dog,Miniature Smooth Haired Dachshund
191,Dog,Rhodesian Ridgeback
193,Cat,Donskoy
201,Dog,Pembroke Welsh Corgi
211,Dog,Lagotto Romagnolo
223,Dog,Pug
243,Dog,Chesapeake Bay Retriever
246,Dog,English Springer Spaniel
259,Dog,Rat Terrier
262,Dog,Leonberger
276,Dog,Irish Setter
283,Dog,Mixed breed Giant (more than 90lbs when full grown)
291,Dog,Saint Bernard
303,Dog,American Staffordshire Terrier
310,Dog,Nova Scotia Duck Tolling Retriever
311,Dog,Siberian Husky
312,Dog,Border Terrier
321,Dog,Morkie
332,Dog,English Shepherd
334,Dog,Maremma
337,Dog,Miniature Labradoodle
342,Dog,Alaskan Klee Kai
344,Dog,Biewer
352,Dog,Puggle
357,Dog,Cardigan Welsh Corgi
361,Dog,American Pitbull Terrier
362,Dog,Cocker Spaniel
375,Dog,Miniature Australian Shepherd
388,Dog,Border Collie
407,Dog,Rottweiler
420,Dog,American Staffordshire Bull Terrier
421,Dog,Miniature Wire Haired Dachshund
427,Dog,Greater Swiss Mountain Dog
437,Dog,Shihpoo
444,Dog,Blackmouth Cur
456,Dog,English Mastiff
458,Dog,Olde English Bulldog
473,Dog,Weimaraner
481,Dog,Miniature Long Haired Dachshund
485,Cat,Siberian
501,Dog,Samoyed
508,Dog,Shetland Sheepdog
510,Dog,Dachshund - Standard Long Haired
513,Dog,Aussiedoodle
514,Cat,Balinese
517,Dog,Irish Wolfhound
528,Dog,West Highland White Terrier
540,Dog,Silken Windhound
542,Dog,Feist
550,Dog,Shar Pei
